district,population,hhid,subnatid1,subnatid2,age,hsize,welfare,whours,rooms,regioncode,geometry,hhweight
Kamubukwana,319968,4432,11 – Maputo Cidade,56 – Kamubukwana,78,2,23420.208984375,48,4,56,32.5852991029352|-25.9348391227941,204.31514382809
Kamubukwana,319968,4433,11 – Maputo Cidade,56 – Kamubukwana,68,2,23420.208984375,35,4,56,32.5765626607577|-25.9426817628519,209.915302166321
Kamubukwana,319968,4466,11 – Maputo Cidade,56 – Kamubukwana,56,4,17451.822265625,15,3,56,32.5784384319715|-25.9375292090435,202.641429284113
Kamubukwana,319968,4467,11 – Maputo Cidade,56 – Kamubukwana,53,4,17451.822265625,65,3,56,32.5809644296044|-25.941624520948,200.60353102213
Kamubukwana,319968,4468,11 – Maputo Cidade,56 – Kamubukwana,17,4,17451.822265625,48,3,56,32.5840650828189|-25.938666347988,214.039378818385
Kamubukwana,319968,4469,11 – Maputo Cidade,56 – Kamubukwana,31,4,17451.822265625,35,3,56,32.609149958981|-25.9386340455641,207.969292895588
Kamubukwana,319968,4470,11 – Maputo Cidade,56 – Kamubukwana,29,1,49419.70703125,60,2,56,32.6079729631744|-25.9375983395178,206.466181722947
Kamubukwana,319968,4492,11 – Maputo Cidade,56 – Kamubukwana,41,5,15719.1669921875,61,4,56,32.6014100739523|-25.9453669054232,213.493470836675
Kamubukwana,319968,4493,11 – Maputo Cidade,56 – Kamubukwana,37,5,15719.1669921875,51,4,56,32.57127119382|-25.9507369043372,203.558175781972
Kamubukwana,319968,4494,11 – Maputo Cidade,56 – Kamubukwana,10,5,15719.1669921875,48,4,56,32.6195679994047|-25.9419361830299,209.12518779156
Kamubukwana,319968,4495,11 – Maputo Cidade,56 – Kamubukwana,13,5,15719.1669921875,48,4,56,32.579601299377|-25.9374738976399,201.680394917147
Kamubukwana,319968,4496,11 – Maputo Cidade,56 – Kamubukwana,17,5,15719.1669921875,48,4,56,32.5685690461913|-25.9560873336172,203.45893822487
Kamubukwana,319968,4524,11 – Maputo Cidade,56 – Kamubukwana,20,1,58958.30859375,48,2,56,32.5879628698769|-25.9352171852823,212.847599538876
Kamubukwana,319968,4624,11 – Maputo Cidade,56 – Kamubukwana,54,3,52708.83984375,45,3,56,32.6052140096582|-25.9502924945606,201.786578354743
Kamubukwana,319968,4625,11 – Maputo Cidade,56 – Kamubukwana,11,3,52708.83984375,48,3,56,32.5912015193896|-25.9430923387616,208.665454672687
Kamubukwana,319968,4626,11 – Maputo Cidade,56 – Kamubukwana,15,3,52708.83984375,48,3,56,32.5737862054551|-25.9543722026622,201.088144646525
Kamubukwana,319968,4680,11 – Maputo Cidade,56 – Kamubukwana,77,3,21263.6796875,48,5,56,32.5923809012596|-25.9416521342263,210.643939577668
Kamubukwana,319968,4681,11 – Maputo Cidade,56 – Kamubukwana,49,3,21263.6796875,48,5,56,32.5867184348128|-25.94858499301,208.490345623352
Kamubukwana,319968,4682,11 – Maputo Cidade,56 – Kamubukwana,19,3,21263.6796875,48,5,56,32.6140209547698|-25.9448806615386,197.05959488403
Kamubukwana,319968,4686,11 – Maputo Cidade,56 – Kamubukwana,25,2,23887.9609375,30,1,56,32.6105520326554|-25.9265889829837,197.582625926977
Kamubukwana,319968,4687,11 – Maputo Cidade,56 – Kamubukwana,22,2,23887.9609375,66,1,56,32.6024996987897|-25.9455362820341,209.679167830962
