"","Domain","Mean_MSE","Head_Count_MSE","Mean","BM_Head_Count","Mean_CV","Head_Count_CV"
"97","400110",0.0419556367210625,0.00729436117173196,-0.40926362309481,0.424569651683825,-0.500486092206067,0.201161416020008
"98","400111",0.181063353822865,0.0271261702393387,-0.226686336680724,0.409360354409187,-1.87711091942624,0.402335599474286
"99","400112",0.0466030783418957,0.00847500704349473,-0.812909529857443,0.588774673695295,-0.265561484364774,0.156358290472693
"100","400113",0.0425989813970881,0.00770996953758315,-0.483012224322742,0.456428346895031,-0.427308453955867,0.19237725441044
"101","400201",0.0240114433541615,0.0033926933527064,-0.0730392314362601,0.29040609937669,-2.12154837429816,0.200570275185448
"102","400202",0.178166637621206,0.0225094900052021,-0.0517254961925551,0.332720848056537,-8.16034512160297,0.450923441954921
"103","400203",0.0124835275662468,0.00181846267329145,-0.255012518007877,0.362571045445229,-0.438134208073646,0.117614015232981
"104","400204",0.040843333614038,0.00772511904426356,-0.717625636318008,0.551477529532757,-0.281619449962805,0.159376677499893
"105","400205",0.0527513528533669,0.00927445003020491,-0.11382135428604,0.308586018901684,-2.01786938965029,0.312081365256984
"106","400206",0.180742326567467,0.0258728452179768,-0.228190541486562,0.406105229387231,-1.86308339547588,0.396080547175881
"107","400207",0.017701831668786,0.00341583954786738,-0.572922509272444,0.493632645015954,-0.232227270630742,0.118398134157164
"108","400208",0.0425097824705222,0.00796975142022571,-0.592058130001408,0.501065032172208,-0.348241153096384,0.178167420441914
"109","400301",0.160004307135275,0.0246720195493038,0.0111597097669641,0.307950918699275,35.8437085045877,0.51005950630676
"110","400302",0.0371002405450649,0.00590232748179184,-0.00327613026163283,0.265728818827081,-58.7932139088531,0.289116577343382
"111","400303",0.0545008743750368,0.0096407775897472,-0.485052736393589,0.457434729579751,-0.481296580310817,0.214648025433731
