latitude,longitude,rwi,error
11.7060306,-15.1501465,-0.651,0.342
11.2969342,-15.1062012,-0.463,0.346
12.2863336,-14.3811035,-0.726,0.343
11.9855916,-14.8205566,-0.561,0.452
12.5867322,-15.3479004,-0.817,0.360
12.3507339,-14.1833496,-0.727,0.453
12.0070844,-15.6555176,-0.330,0.374
12.2219175,-14.2053223,-0.706,0.342
11.1676236,-16.1389160,0.078,0.351
12.0285754,-14.6887207,-0.166,0.340
12.0930384,-15.8312988,-0.427,0.377
11.2322862,-15.8752441,-0.516,0.342
11.9640971,-14.8864746,-0.486,0.341
12.3292689,-15.8312988,-0.463,0.348
12.3078021,-15.7434082,-0.663,0.349
12.1789647,-14.8425293,-0.339,0.359
12.2433913,-15.3918457,-0.456,0.342
11.9640971,-14.7546387,-0.719,0.340
12.6081759,-15.1062012,-0.843,0.348
12.6296178,-14.9304199,-0.576,0.347
11.0813844,-14.9963379,-0.309,0.346
12.1145226,-16.0070801,-0.340,0.344
12.4365763,-15.8312988,-0.537,0.351
12.2863336,-14.1394043,-0.797,0.343
12.4580325,-16.0729980,-0.790,0.347
11.1676236,-16.0290527,-0.756,0.342
12.1360050,-14.9963379,-0.445,0.343
11.8135879,-16.0510254,-0.715,0.345
11.6199546,-14.7546387,-1.074,0.344
12.1360050,-16.1608887,-0.509,0.354
11.2538371,-15.7214355,-0.184,0.343
12.5652867,-14.1174316,-0.589,0.345
11.9426009,-16.1608887,-0.675,0.346
12.4151184,-16.0510254,-0.065,0.425
12.3721972,-16.2927246,-0.127,0.360
12.0930384,-15.6994629,-0.448,0.429
12.0070844,-14.8205566,-0.726,0.341
12.6296178,-14.0734863,-0.518,0.345
12.2648633,-16.5344238,-0.148,0.350
12.0715524,-16.2707520,-0.656,0.348
12.2433913,-14.8205566,-1.107,0.344
12.3721972,-13.7219238,-0.723,0.344
12.4365763,-14.6667480,-0.445,0.343
11.8565990,-16.0729980,-0.756,0.354
12.2433913,-16.2268066,-0.517,0.346
11.8565990,-14.7985840,-0.416,0.341
12.2004420,-14.5788574,-0.457,0.340
11.3184804,-15.0402832,-0.859,0.360
11.4477230,-15.4138184,-0.477,0.343
12.3292689,-13.6999512,-0.513,0.344
12.2004420,-15.5676270,-0.671,0.345
11.6199546,-14.6667480,-0.223,0.343
11.9855916,-14.7766113,-0.788,0.340
12.4151184,-13.6999512,-0.693,0.360
11.8565990,-14.8864746,-0.465,0.342
12.2219175,-15.8312988,-0.268,0.346
12.0070844,-14.2712402,-0.110,0.341
12.4151184,-14.3591309,-0.636,0.343
12.0285754,-16.0510254,-0.619,0.393
12.3292689,-14.0515137,-0.755,0.344
12.5652867,-14.1613770,-0.774,0.359
11.9426009,-14.6667480,-0.957,0.341
12.3078021,-14.4689941,-0.631,0.343
12.3507339,-14.4689941,-0.686,0.343
12.2433913,-13.8977051,-0.154,0.342
11.9211029,-16.2707520,-0.546,0.347
12.5438394,-13.8537598,-0.057,0.341
12.4151184,-15.9191895,-0.215,0.346
12.3507339,-16.6662598,-0.165,0.364
12.2219175,-15.1281738,-0.554,0.345
12.3721972,-15.7434082,-0.812,0.352
12.3078021,-14.8645020,-0.609,0.345
11.2322862,-15.3259277,-0.846,0.346
12.2433913,-15.2160645,-0.824,0.359
12.5652867,-14.7766113,-0.602,0.342
11.3615678,-14.8205566,-0.657,0.343
11.4692577,-15.9631348,-0.233,0.344
11.7920798,-15.2380371,-0.750,0.343
11.1891794,-14.9304199,-0.613,0.346
11.8996033,-14.8205566,-0.891,0.364
12.2648633,-15.6774902,-0.559,0.348
12.0930384,-15.0842285,-0.534,0.344
12.0500648,-15.7214355,-0.055,0.374
12.5009395,-15.3479004,-0.598,0.349
11.3615678,-15.0402832,-0.199,0.347
12.4151184,-15.4357910,-0.010,0.346
11.7490585,-15.1062012,-0.470,0.342
11.7920798,-15.7873535,-0.435,0.343
11.6414761,-14.6447754,-1.063,0.343
12.2648633,-16.1169434,-0.263,0.345
12.6724962,-14.3591309,-0.757,0.354
11.1676236,-15.9411621,-0.720,0.344
11.3400249,-15.1940918,-0.775,0.359
12.5009395,-14.5349121,-0.697,0.358
12.6296178,-14.1833496,-0.635,0.364
12.0070844,-14.9963379,-0.332,0.362
11.8565990,-15.6335449,1.064,0.506
12.4580325,-14.4250488,-0.547,0.343
11.4907908,-15.0183105,-0.481,0.344
11.8996033,-15.7214355,-0.431,0.393
12.3292689,-14.4030762,-0.756,0.343
12.1360050,-15.6774902,-0.656,0.345
12.5652867,-14.7546387,-0.447,0.343
12.5652867,-14.2492676,-0.164,0.354
12.2433913,-15.2380371,-0.608,0.344
11.4907908,-15.1281738,-0.590,0.344
11.9426009,-15.7653809,-0.714,0.362
12.2219175,-14.5129395,-0.750,0.341
11.4261866,-14.9963379,-0.783,0.347
12.4580325,-15.2600098,-0.518,0.348
12.4794869,-14.3151855,-0.396,0.346
11.2538371,-15.2160645,-0.484,0.347
12.1574857,-15.7653809,-0.998,0.360
12.1145226,-15.1281738,-0.948,0.408
12.5652867,-14.1394043,-0.595,0.345
11.2969342,-15.0402832,-0.338,0.347
12.3936586,-15.1940918,-0.691,0.344
11.6629959,-15.3698730,-0.415,0.367
12.5438394,-14.3811035,-0.286,0.346
12.2648633,-14.6667480,-0.525,0.358
12.6510579,-14.8645020,-0.399,0.345
12.3936586,-13.7219238,-0.472,0.344
12.4365763,-14.1174316,-0.469,0.384
11.9426009,-14.8425293,-0.531,0.356
12.1574857,-15.1721191,-0.848,0.346
12.2433913,-15.4138184,-0.169,0.342
12.1360050,-14.8645020,-0.457,0.344
11.9855916,-13.7438965,-0.419,0.348
12.3507339,-14.5349121,-0.230,0.344
12.2004420,-15.1501465,-0.787,0.346
12.1574857,-14.2053223,-0.302,0.349
12.3078021,-13.6999512,-0.559,0.344
12.0930384,-16.2048340,-0.200,0.363
12.2433913,-16.1828613,-0.445,0.359
11.2969342,-15.6774902,-0.503,0.344
12.0500648,-15.2160645,-0.684,0.345
11.4692577,-14.8864746,-0.641,0.344
12.4580325,-13.9196777,-0.597,0.342
12.0930384,-15.0622559,-0.699,0.343
12.4365763,-14.2932129,-0.337,0.343
11.3615678,-15.1940918,-0.647,0.353
12.4151184,-15.1281738,-0.764,0.345
12.2219175,-14.4030762,-0.935,0.342
11.7705700,-15.8532715,-0.570,0.346
12.3936586,-16.1828613,-0.001,0.428
12.3507339,-14.1394043,-0.304,0.357
11.9855916,-14.9304199,0.007,0.358
12.2648633,-15.3479004,-0.551,0.342
11.9640971,-15.6115723,-0.472,0.451
12.3936586,-15.3698730,-0.785,0.346
11.8565990,-14.8425293,-0.184,0.354
12.0285754,-14.9523926,-0.379,0.356
11.7275454,-14.5568848,-0.783,0.343
11.7275454,-14.8205566,-0.424,0.343
12.1360050,-14.4470215,-0.352,0.342
11.2322862,-15.1281738,-0.599,0.361
12.0930384,-15.6774902,-0.446,0.374
11.1460662,-14.8864746,-0.684,0.345
12.2648633,-14.2272949,0.080,0.425
11.9426009,-14.7766113,-0.559,0.340
12.4151184,-14.7106934,-0.315,0.345
12.1789647,-15.0183105,-0.446,0.344
12.2433913,-14.2492676,-1.140,0.343
12.4365763,-15.4357910,-0.178,0.345
11.6629959,-14.3591309,-0.639,0.343
12.0930384,-15.7434082,-0.819,0.343
12.0285754,-14.6447754,-0.506,0.340
12.3292689,-14.8205566,-0.617,0.345
11.7275454,-14.2053223,-0.733,0.343
12.4794869,-13.8757324,-0.360,0.342
12.0930384,-16.0729980,-0.476,0.366
11.8135879,-15.0183105,-0.840,0.360
12.0500648,-15.1721191,-0.224,0.346
12.2863336,-15.1062012,-0.324,0.343
11.4692577,-15.1062012,-0.714,0.344
11.3615678,-14.9523926,-0.747,0.359
12.2648633,-16.5124512,-0.439,0.348
12.2433913,-14.6667480,-0.581,0.342
12.1789647,-14.6228027,-0.415,0.356
12.1574857,-15.5017090,-0.197,0.343
12.5009395,-14.7985840,-0.708,0.343
12.2004420,-14.6667480,-0.587,0.366
12.3292689,-15.7653809,-0.519,0.461
12.0715524,-14.7766113,-0.406,0.358
12.1145226,-15.5676270,-0.690,0.359
12.2863336,-14.4689941,-0.619,0.342
12.2433913,-14.6008301,-0.384,0.341
12.2219175,-14.4909668,-0.620,0.341
12.1360050,-14.9523926,-0.606,0.343
11.6199546,-14.7766113,-0.694,0.344
11.3184804,-15.2819824,-0.908,0.345
12.3721972,-15.9631348,-0.434,0.344
12.2219175,-14.3591309,-0.651,0.342
11.9640971,-14.9084473,-0.632,0.341
12.1574857,-15.8532715,-0.618,0.345
11.6845141,-15.4357910,-0.478,0.344
12.2219175,-16.2268066,-0.344,0.345
12.3936586,-15.4138184,-0.425,0.346
12.0930384,-15.4138184,-0.176,0.347
12.4151184,-15.8312988,-0.673,0.350
12.3078021,-14.0515137,-0.592,0.343
11.4692577,-15.6774902,-0.401,0.341
11.2538371,-15.3918457,-0.147,0.346
12.2004420,-15.8752441,-0.366,0.344
11.5338520,-15.0842285,-0.320,0.356
12.3507339,-16.4465332,-0.364,0.371
11.6629959,-14.6228027,-0.396,0.343
12.0715524,-14.8205566,-0.211,0.407
12.0500648,-16.2048340,-0.458,0.347
12.0070844,-15.1940918,-0.576,0.345
12.1145226,-15.0402832,-0.518,0.343
12.0285754,-14.8425293,-0.587,0.422
12.2433913,-14.4030762,-0.597,0.342
12.4151184,-15.1501465,-0.264,0.361
12.4151184,-16.2048340,-0.254,0.463
11.4261866,-15.2380371,-0.588,0.343
11.8781020,-16.2487793,-0.524,0.347
12.3292689,-15.5676270,-0.646,0.361
12.0285754,-13.7878418,-0.704,0.347
12.3721972,-15.3259277,-0.557,0.345
12.3292689,-14.0295410,-1.264,0.343
12.2004420,-15.6555176,-0.642,0.345
12.6081759,-14.0075684,-0.462,0.344
12.3078021,-14.0295410,-0.336,0.351
12.0070844,-14.6667480,-0.333,0.341
12.1145226,-16.0949707,-0.697,0.346
11.1676236,-14.8864746,-0.406,0.387
11.5553801,-15.1721191,-0.471,0.342
12.3292689,-16.5783691,-0.075,0.347
11.8135879,-14.9304199,-0.693,0.341
11.5338520,-15.2600098,-0.163,0.387
12.4151184,-13.8757324,-0.454,0.344
11.5553801,-15.4797363,-0.585,0.344
11.7490585,-14.9743652,-0.217,0.343
12.5652867,-14.3811035,-0.706,0.345
12.0070844,-15.6115723,-0.784,0.380
12.1574857,-14.8864746,-0.393,0.345
12.2863336,-15.4577637,-0.615,0.343
11.7490585,-13.8098145,-0.513,0.349
11.8781020,-15.3259277,-0.302,0.371
12.5223904,-15.1501465,-0.728,0.361
12.3936586,-16.2487793,-0.326,0.377
12.0930384,-14.7326660,-0.463,0.341
12.3721972,-16.2048340,-0.257,0.347
12.1360050,-14.6887207,-0.281,0.394
12.3292689,-14.2712402,-0.494,0.357
12.3507339,-14.2492676,-0.540,0.342
12.4794869,-14.2272949,-0.560,0.344
12.3078021,-15.4797363,-0.166,0.343
12.3292689,-15.3479004,-0.429,0.345
11.9426009,-15.2600098,-0.436,0.345
12.0930384,-15.3039551,-0.387,0.393
11.9855916,-15.1281738,-0.624,0.344
11.8135879,-14.0515137,-0.024,0.344
12.1574857,-14.6447754,-0.431,0.401
12.0285754,-15.1062012,-0.351,0.399
12.5867322,-14.9743652,-0.570,0.347
12.0285754,-15.9411621,-0.524,0.346
12.3507339,-15.1721191,-0.665,0.344
12.1574857,-15.6994629,-1.046,0.354
11.7490585,-15.3259277,-0.472,0.344
12.2648633,-15.3918457,-0.786,0.342
12.4580325,-14.5788574,-0.513,0.344
11.9426009,-14.8645020,-0.682,0.340
11.8781020,-14.8205566,-0.640,0.405
10.9735497,-15.0183105,-0.435,0.365
12.5009395,-15.2380371,-0.305,0.356
11.6414761,-15.3918457,-0.637,0.358
12.0285754,-15.7434082,-0.649,0.370
11.4477230,-15.0622559,-0.612,0.346
12.0715524,-15.3698730,-0.463,0.369
11.9640971,-15.2380371,-0.469,0.344
11.9426009,-15.0622559,-0.824,0.344
11.4477230,-15.0402832,-0.802,0.346
11.9211029,-14.5568848,-0.564,0.341
11.0166883,-15.0183105,-0.540,0.349
12.0500648,-15.0842285,-0.466,0.344
11.7705700,-14.9963379,-0.516,0.343
12.3507339,-15.2380371,-0.528,0.344
12.3078021,-15.7873535,-0.311,0.380
11.2969342,-15.2600098,-0.455,0.360
12.2004420,-14.7985840,-0.435,0.343
11.5338520,-15.6115723,-0.006,0.342
11.3184804,-15.0183105,-0.360,0.345
12.2863336,-15.7653809,-0.276,0.382
11.1676236,-16.0949707,-0.690,0.358
12.3936586,-14.5568848,-0.803,0.345
11.8135879,-15.2380371,-0.501,0.344
11.9211029,-14.9304199,-0.694,0.341
11.7920798,-15.1940918,-0.835,0.357
11.8135879,-16.0949707,-0.397,0.346
11.4907908,-16.3146973,-0.348,0.356
12.0715524,-15.8093262,-0.353,0.344
12.5009395,-14.2053223,-0.831,0.344
12.4580325,-14.4909668,0.045,0.344
12.0500648,-15.3259277,-0.286,0.442
11.9855916,-14.9523926,-0.497,0.344
12.5867322,-14.4250488,-0.334,0.345
12.3292689,-15.5895996,-0.275,0.346
12.1789647,-15.3259277,-0.365,0.343
11.9211029,-15.6335449,-0.031,0.454
11.9855916,-15.1940918,-0.803,0.344
11.4261866,-15.0183105,-0.896,0.347
12.3721972,-15.0622559,-0.976,0.342
12.0500648,-14.9523926,-0.605,0.359
12.1145226,-15.8312988,-0.610,0.344
12.0930384,-14.9523926,-0.213,0.358
11.6199546,-14.9304199,-0.259,0.342
12.4365763,-14.8205566,-0.637,0.344
12.2433913,-16.0510254,-0.638,0.344
12.2648633,-14.0515137,-0.740,0.342
12.0285754,-15.6115723,-0.669,0.377
11.1891794,-15.1501465,-0.577,0.346
11.2107336,-15.3039551,-0.112,0.346
12.2219175,-15.6335449,-0.617,0.370
12.4365763,-15.3039551,-0.070,0.347
12.2863336,-15.5456543,-0.150,0.344
11.8781020,-15.5895996,1.391,0.460
12.4151184,-16.1828613,-0.654,0.450
11.7705700,-16.0949707,-0.563,0.349
11.2753865,-15.2160645,-0.341,0.346
12.0930384,-15.9851074,-0.154,0.383
11.3615678,-14.7985840,-0.577,0.343
12.6510579,-13.9636230,-0.392,0.359
11.8350943,-14.9304199,-0.350,0.341
11.4477230,-16.0290527,-0.356,0.344
12.2648633,-16.1828613,-0.396,0.361
12.6081759,-14.0954590,-0.345,0.345
11.6414761,-15.0183105,-0.749,0.357
12.5867322,-14.8645020,-0.480,0.346
12.0500648,-15.5895996,-0.337,0.376
11.9855916,-15.9851074,-0.571,0.344
12.1789647,-15.0402832,-0.520,0.344
11.1245072,-14.9084473,-0.620,0.346
12.0930384,-15.3698730,-0.055,0.345
11.3400249,-15.3479004,-0.304,0.344
11.6629959,-14.5129395,-0.361,0.342
12.0930384,-14.7546387,-0.754,0.359
11.7490585,-14.9523926,-0.956,0.344
11.7060306,-14.2272949,-0.625,0.342
12.0070844,-16.0949707,-0.732,0.345
11.2322862,-14.8864746,-0.345,0.343
12.5223904,-15.2380371,-0.680,0.363
11.8350943,-15.8532715,-0.123,0.344
12.4580325,-15.5456543,-0.483,0.349
12.5652867,-15.3259277,-0.243,0.385
12.0500648,-15.6774902,-0.427,0.370
12.4794869,-14.7106934,-0.779,0.343
12.4365763,-15.0842285,-0.303,0.344
12.3292689,-15.8972168,-0.563,0.346
12.2433913,-15.5456543,-0.474,0.344
11.8781020,-14.2053223,-0.989,0.351
12.3936586,-15.3259277,-0.431,0.346
12.0715524,-15.4577637,-0.691,0.356
11.7705700,-15.4797363,-0.661,0.347
11.7920798,-15.3259277,-0.690,0.345
11.9211029,-15.0842285,-0.171,0.344
11.9426009,-16.0949707,-0.623,0.344
11.6845141,-14.7546387,-0.719,0.343
12.4151184,-15.5236816,-0.172,0.349
11.4046486,-14.9963379,-0.502,0.346
12.1789647,-14.8864746,-0.678,0.359
11.8135879,-14.7106934,-0.952,0.341
11.9211029,-15.5456543,-0.336,0.383
12.5438394,-14.5568848,-0.599,0.343
11.1891794,-15.3259277,-0.525,0.345
12.2648633,-15.3698730,-0.727,0.351
12.2004420,-14.3811035,-0.518,0.342
11.7705700,-15.7653809,-0.542,0.346
12.0285754,-14.8864746,-0.331,0.401
12.4365763,-15.2160645,-0.397,0.352
12.0715524,-15.6774902,-0.178,0.345
