latitude,longitude,rwi,error
12.8653594,21.4123535,-0.302,0.334
13.1864679,20.1599121,-0.491,0.337
14.5516838,20.7092285,-0.376,0.333
14.5516838,15.6115723,-0.367,0.353
13.0366691,18.7316895,-0.649,0.352
8.6787785,18.4680176,-0.845,0.363
14.4027591,22.3571777,-0.185,0.320
15.3371669,22.8186035,-0.611,0.311
14.2324377,15.3918457,-0.616,0.353
8.8525066,15.8752441,-0.436,0.383
18.1145288,18.9953613,-0.061,0.327
13.2292507,20.0061035,-0.736,0.343
12.2004420,15.4357910,-0.474,0.341
13.1222796,18.4899902,-0.327,0.370
9.1563324,16.6442871,-0.563,0.353
11.6845141,18.1384277,-0.146,0.353
8.0265947,16.0510254,0.056,0.370
15.2523892,22.2692871,-0.357,0.321
8.3962996,16.5124512,-0.525,0.352
13.2506393,20.6213379,-0.710,0.330
9.5465832,14.5349121,-0.418,0.348
11.0813844,15.3698730,-0.191,0.343
9.7198857,18.4899902,-0.355,0.354
8.3962996,17.4792480,-0.640,0.368
15.1887835,22.0715332,-0.492,0.322
13.6780130,20.2258301,-0.076,0.336
10.8656756,16.9738770,-0.314,0.360
14.2750302,21.7858887,-0.306,0.332
9.6332456,14.1833496,-0.317,0.348
14.5516838,17.7429199,-0.503,0.339
10.0662199,15.7214355,-0.198,0.358
9.4165483,15.8312988,-0.420,0.357
9.6332456,15.6115723,-0.494,0.361
8.8959258,18.5119629,-0.112,0.360
8.5049700,16.3806152,-0.976,0.356
10.3257277,17.3474121,-0.127,0.347
8.0483515,17.5231934,-0.718,0.364
13.4430519,20.2697754,-0.811,0.348
8.7656527,16.5783691,-0.388,0.360
9.4382242,16.0070801,-0.630,0.349
10.5850215,15.6115723,-0.448,0.340
12.1360050,17.0617676,-0.438,0.381
8.6787785,15.4138184,-0.526,0.358
13.3147939,18.2482910,-0.209,0.351
11.2107336,18.3361816,-0.443,0.350
13.8914108,15.5236816,-0.227,0.351
12.4794869,21.9177246,-0.467,0.336
14.2963234,22.0495605,-0.699,0.326
13.4857894,21.6979980,-0.519,0.340
12.7796606,20.5114746,-0.350,0.350
13.3789314,14.1833496,-0.075,0.360
12.8010881,20.2697754,-0.709,0.345
8.8307950,16.8200684,-0.930,0.357
17.4659524,23.1042480,-0.198,0.272
10.4121830,16.7761230,-0.849,0.362
13.3361750,20.9509277,-0.411,0.347
9.1780244,18.2043457,0.062,0.355
14.2537350,21.1926270,-0.236,0.335
12.0500648,22.4670410,-0.341,0.332
9.3515125,16.7321777,-0.738,0.354
15.7816814,20.7531738,-0.345,0.333
8.8742168,15.5676270,-0.719,0.349
10.1311167,17.4572754,-0.293,0.352
9.2214045,15.1281738,-0.511,0.342
8.9610451,16.3586426,-0.812,0.360
8.7004990,17.2155762,-0.664,0.361
9.6982277,15.2819824,-0.168,0.346
15.9085080,21.5881348,0.168,0.325
12.9724418,15.5456543,-0.625,0.360
13.9980363,22.0935059,-0.318,0.330
10.9088300,15.4357910,-0.526,0.349
9.2214045,16.1828613,-0.338,0.351
9.0478525,15.4797363,-0.405,0.363
13.7847363,13.8098145,-0.693,0.351
13.1650736,19.3469238,-0.221,0.348
13.3361750,18.4020996,-0.687,0.350
10.9735497,15.5456543,-0.094,0.356
13.9127399,21.9396973,-0.665,0.324
14.2111385,22.3791504,-0.317,0.333
12.2433913,17.1276855,-0.633,0.351
9.3515125,16.0510254,-0.426,0.349
9.8281543,17.6770020,-0.319,0.353
9.1563324,14.6667480,-0.628,0.345
8.6353339,15.7653809,-0.526,0.346
8.7873681,15.4357910,-0.687,0.350
13.1008797,21.9616699,-0.492,0.342
8.6570568,18.9733887,-0.686,0.351
11.6845141,15.1721191,-0.596,0.347
13.4216803,15.1721191,-0.406,0.352
8.7439361,17.2155762,-0.288,0.366
13.8274120,14.0515137,-0.319,0.346
11.1029466,22.4230957,-0.767,0.345
12.8867796,15.5895996,-0.375,0.351
12.0715524,15.0842285,0.882,0.489
9.1997151,17.3254395,-0.828,0.358
11.9640971,19.5007324,-0.478,0.358
15.4430906,22.2912598,-0.248,0.314
9.1346391,15.3698730,-0.795,0.414
12.0285754,22.1154785,-0.679,0.332
13.5925995,14.6887207,-0.059,0.353
15.4430906,22.6428223,-0.346,0.313
14.1472288,15.0622559,-0.207,0.377
12.2219175,15.7873535,-0.426,0.341
12.4794869,21.5881348,-0.453,0.344
11.4692577,15.9191895,-0.550,0.341
12.7368003,14.6667480,-0.296,0.351
11.1676236,22.0715332,-0.477,0.328
14.1046123,20.8190918,-0.208,0.339
14.5516838,22.0056152,-0.619,0.354
12.2219175,15.2160645,-0.453,0.344
10.7577626,17.6330566,-0.907,0.348
16.1619207,22.7307129,-0.449,0.309
12.1574857,17.1936035,0.041,0.352
13.9980363,14.4689941,-0.502,0.346
13.9980363,21.8078613,-0.543,0.346
14.3601909,21.2585449,-0.677,0.332
14.5091441,21.3464355,-0.483,0.332
13.5071552,22.2033691,-0.671,0.353
9.3731925,17.2155762,-0.394,0.369
11.1460662,20.4895020,-0.534,0.342
13.5925995,16.4904785,-0.349,0.356
17.2352512,16.8640137,-0.477,0.326
15.3795428,22.1594238,-0.375,0.317
13.4003068,14.9963379,-0.168,0.364
12.0285754,16.4685059,-0.373,0.342
9.4165483,17.6989746,-0.352,0.355
10.0013102,14.2272949,-0.358,0.344
8.1788678,16.3366699,-0.771,0.357
9.5249141,14.2932129,-0.785,0.350
13.9980363,20.8410645,-0.923,0.350
9.3298312,20.5334473,-0.283,0.335
10.9951198,20.1818848,-0.542,0.351
13.1864679,14.8864746,-0.157,0.358
12.3292689,15.0622559,-0.248,0.370
8.5049700,17.9626465,-0.109,0.358
12.8439375,18.1164551,-0.079,0.359
9.0695511,15.9851074,-0.904,0.349
14.4027591,22.3352051,-0.238,0.320
13.8060751,14.3371582,0.313,0.352
13.3789314,15.4797363,-0.223,0.346
11.4046486,17.0178223,-0.501,0.339
7.9177932,15.8752441,-0.775,0.350
9.7848511,15.6994629,-0.265,0.342
10.6498109,16.7761230,-0.015,0.349
13.3361750,21.9396973,-0.654,0.329
12.9510290,15.6555176,-0.199,0.352
15.6547754,22.6867676,-0.469,0.312
9.2214045,18.4680176,-0.441,0.358
8.4397714,16.5783691,-0.487,0.353
9.6549077,18.9733887,-0.388,0.353
12.3936586,21.9177246,-0.759,0.332
8.7222181,17.3034668,-0.603,0.363
8.6570568,18.4899902,-0.518,0.359
13.6139558,14.4909668,-0.162,0.348
11.8565990,18.1823730,-0.357,0.363
8.9393399,17.0837402,-0.466,0.361
11.3184804,15.5017090,-1.303,0.348
8.2006163,15.7434082,-0.449,0.351
