latitude,longitude,rwi,error
12.0285754,-4.9987793,-0.758,0.261
12.9724418,-6.1633301,-0.441,0.270
13.5712413,-7.9211426,-0.334,0.274
10.9519780,-8.0749512,-0.406,0.265
15.4219101,-3.4167480,-0.809,0.256
13.2720261,-4.4494629,-0.891,0.260
13.0366691,-4.6691895,-0.735,0.259
12.0930384,-6.4050293,-0.559,0.262
13.3147939,-9.3713379,-0.645,0.265
11.7920798,-7.8552246,-0.118,0.274
14.8279911,-5.9436035,-0.422,0.279
12.0285754,-10.7336426,-0.811,0.249
15.9085080,-5.2624512,-0.896,0.282
14.2963234,-7.9870605,-0.796,0.273
15.1887835,-1.1096191,-0.380,0.249
14.4027591,-3.5485840,-0.800,0.299
12.4794869,-5.4162598,-0.682,0.262
14.8704688,-9.0637207,-0.707,0.290
13.3147939,-10.2502441,-0.602,0.257
13.5925995,-10.0524902,-0.795,0.260
14.1898373,-3.2849121,-0.655,0.257
14.7642589,-6.1633301,-0.354,0.310
16.1619207,0.0769043,-0.369,0.291
14.3176146,-2.8454590,-0.470,0.252
13.9980363,-7.4377441,-0.404,0.289
15.3371669,-0.0769043,-0.567,0.253
15.2099875,-8.4265137,-0.040,0.269
14.8704688,-8.3825684,-0.286,0.325
13.8274120,-5.6579590,-0.427,0.290
14.9978516,-2.1643066,-0.398,0.246
15.0615146,0.2307129,-0.548,0.255
13.5498812,-6.2731934,-0.600,0.275
15.5277906,-0.6701660,-0.064,0.250
15.4219101,1.0437012,-0.834,0.259
16.5414301,-4.2517090,-0.821,0.266
16.4992989,-3.3508301,-0.205,0.277
15.1675773,-5.1745605,-0.209,0.265
14.2111385,-5.7238770,-0.499,0.268
14.9129381,-4.3395996,-0.668,0.257
14.1685340,-2.8234863,-0.588,0.253
14.6154780,-10.0524902,-0.274,0.323
13.0366691,-5.1306152,-0.322,0.264
12.9081979,-7.9431152,-0.557,0.307
11.6414761,-5.5261230,-0.528,0.275
15.2735868,-7.5036621,0.125,0.276
14.2750302,-5.8996582,-1.065,0.298
14.7005081,-1.7907715,-0.657,0.248
15.2947823,-7.3718262,-0.365,0.283
15.7605359,-3.0651855,-0.220,0.253
13.0366691,-5.3503418,-0.395,0.319
14.3389038,-9.1735840,-0.955,0.291
12.3936586,-11.2609863,-0.436,0.249
15.0827314,-11.6345215,-0.331,0.313
13.3789314,-7.6794434,-0.462,0.276
13.5285192,-7.9650879,-0.725,0.314
10.6929962,-8.0969238,-0.716,0.264
11.1245072,-7.0642090,-0.636,0.263
12.7153674,-9.9865723,-0.311,0.258
13.0152618,-5.2624512,-0.424,0.267
14.2750302,-9.4812012,-0.412,0.284
14.1046123,-10.3161621,-0.544,0.268
13.5925995,-5.1086426,-0.185,0.259
13.9127399,-8.0749512,-1.167,0.312
14.5304150,-6.1193848,-0.604,0.281
13.4644216,-5.4382324,-0.444,0.265
16.9622326,-0.4943848,-0.113,0.323
11.0813844,-6.5808105,-0.708,0.262
13.5925995,-5.4602051,-0.513,0.276
10.6929962,-5.7458496,-0.338,0.272
14.3601909,-7.3937988,-0.671,0.276
13.1864679,-8.4045410,-0.334,0.296
15.0827314,-7.2619629,-0.333,0.273
15.4430906,-8.8000488,-0.700,0.299
14.0833011,-11.1291504,-0.487,0.259
14.3814760,-3.9440918,-0.288,0.261
12.2648633,-5.2185059,-0.451,0.277
12.9724418,-9.9426270,-0.576,0.281
14.3176146,-5.8776855,-0.609,0.273
13.7420528,-5.6140137,-0.405,0.268
